,,,,,,,,,,
id,title,method,url,parameters,request_body,expected_response_code,actual_response_code,expected_response_message,actual_response_body,status
1,Get All Products List,GET,https://automationexercise.com/api/productsList,N/A,,200,200,This API returns all product list.,"{""responseCode"": 200, ""products"": [{""id"": 1, ""name"": ""Blue Top"", ""price"": ""Rs. 500"", ""brand"": ""Polo"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Tops""}}, {""id"": 2, ""name"": ""Men Tshirt"", ""price"": ""Rs. 400"", ""brand"": ""H&M"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Tshirts""}}, {""id"": 3, ""name"": ""Sleeveless Dress"", ""price"": ""Rs. 1000"", ""brand"": ""Madame"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Dress""}}, {""id"": 4, ""name"": ""Stylish Dress"", ""price"": ""Rs. 1500"", ""brand"": ""Madame"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Dress""}}, {""id"": 5, ""name"": ""Winter Top"", ""price"": ""Rs. 600"", ""brand"": ""Mast & Harbour"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Tops""}}, {""id"": 6, ""name"": ""Summer White Top"", ""price"": ""Rs. 400"", ""brand"": ""H&M"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Tops""}}, {""id"": 7, ""name"": ""Madame Top For Women"", ""price"": ""Rs. 1000"", ""brand"": ""Madame"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Tops""}}, {""id"": 8, ""name"": ""Fancy Green Top"", ""price"": ""Rs. 700"", ""brand"": ""Polo"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Tops""}}, {""id"": 11, ""name"": ""Sleeves Printed Top - White"", ""price"": ""Rs. 499"", ""brand"": ""Babyhug"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Tops & Shirts""}}, {""id"": 12, ""name"": ""Half Sleeves Top Schiffli Detailing - Pink"", ""price"": ""Rs. 359"", ""brand"": ""Babyhug"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Tops & Shirts""}}, {""id"": 13, ""name"": ""Frozen Tops For Kids"", ""price"": ""Rs. 278"", ""brand"": ""Allen Solly Junior"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Tops & Shirts""}}, {""id"": 14, ""name"": ""Full Sleeves Top Cherry - Pink"", ""price"": ""Rs. 679"", ""brand"": ""Kookie Kids"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Tops & Shirts""}}, {""id"": 15, ""name"": ""Printed Off Shoulder Top - White"", ""price"": ""Rs. 315"", ""brand"": ""Babyhug"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Tops & Shirts""}}, {""id"": 16, ""name"": ""Sleeves Top and Short - Blue & Pink"", ""price"": ""Rs. 478"", ""brand"": ""Babyhug"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Dress""}}, {""id"": 18, ""name"": ""Little Girls Mr. Panda Shirt"", ""price"": ""Rs. 1200"", ""brand"": ""Kookie Kids"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Tops & Shirts""}}, {""id"": 19, ""name"": ""Sleeveless Unicorn Patch Gown - Pink"", ""price"": ""Rs. 1050"", ""brand"": ""Allen Solly Junior"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Dress""}}, {""id"": 20, ""name"": ""Cotton Mull Embroidered Dress"", ""price"": ""Rs. 1190"", ""brand"": ""Kookie Kids"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Dress""}}, {""id"": 21, ""name"": ""Blue Cotton Indie Mickey Dress"", ""price"": ""Rs. 1530"", ""brand"": ""Biba"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Dress""}}, {""id"": 22, ""name"": ""Long Maxi Tulle Fancy Dress Up Outfits -Pink"", ""price"": ""Rs. 1600"", ""brand"": ""Biba"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Dress""}}, {""id"": 23, ""name"": ""Sleeveless Unicorn Print Fit & Flare Net Dress - Multi"", ""price"": ""Rs. 1100"", ""brand"": ""Biba"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Dress""}}, {""id"": 24, ""name"": ""Colour Blocked Shirt \u2013 Sky Blue"", ""price"": ""Rs. 849"", ""brand"": ""Allen Solly Junior"", ""category"": {""usertype"": {""usertype"": ""Kids""}, ""category"": ""Tops & Shirts""}}, {""id"": 28, ""name"": ""Pure Cotton V-Neck T-Shirt"", ""price"": ""Rs. 1299"", ""brand"": ""H&M"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Tshirts""}}, {""id"": 29, ""name"": ""Green Side Placket Detail T-Shirt"", ""price"": ""Rs. 1000"", ""brand"": ""Polo"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Tshirts""}}, {""id"": 30, ""name"": ""Premium Polo T-Shirts"", ""price"": ""Rs. 1500"", ""brand"": ""Polo"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Tshirts""}}, {""id"": 31, ""name"": ""Pure Cotton Neon Green Tshirt"", ""price"": ""Rs. 850"", ""brand"": ""H&M"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Tshirts""}}, {""id"": 33, ""name"": ""Soft Stretch Jeans"", ""price"": ""Rs. 799"", ""brand"": ""Polo"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Jeans""}}, {""id"": 35, ""name"": ""Regular Fit Straight Jeans"", ""price"": ""Rs. 1200"", ""brand"": ""H&M"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Jeans""}}, {""id"": 37, ""name"": ""Grunt Blue Slim Fit Jeans"", ""price"": ""Rs. 1400"", ""brand"": ""Polo"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Jeans""}}, {""id"": 38, ""name"": ""Rose Pink Embroidered Maxi Dress"", ""price"": ""Rs. 2300"", ""brand"": ""Madame"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Dress""}}, {""id"": 39, ""name"": ""Cotton Silk Hand Block Print Saree"", ""price"": ""Rs. 3000"", ""brand"": ""Biba"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Saree""}}, {""id"": 40, ""name"": ""Rust Red Linen Saree"", ""price"": ""Rs. 3500"", ""brand"": ""Biba"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Saree""}}, {""id"": 41, ""name"": ""Beautiful Peacock Blue Cotton Linen Saree"", ""price"": ""Rs. 5000"", ""brand"": ""Madame"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Saree""}}, {""id"": 42, ""name"": ""Lace Top For Women"", ""price"": ""Rs. 1400"", ""brand"": ""Mast & Harbour"", ""category"": {""usertype"": {""usertype"": ""Women""}, ""category"": ""Tops""}}, {""id"": 43, ""name"": ""GRAPHIC DESIGN MEN T SHIRT - BLUE"", ""price"": ""Rs. 1389"", ""brand"": ""Mast & Harbour"", ""category"": {""usertype"": {""usertype"": ""Men""}, ""category"": ""Tshirts""}}]}",PASSED
2,POST To All Products List,POST,https://automationexercise.com/api/productsList,N/A,{},405,405,"This API is for wrongly calling POST request for ALL products list, user can not create product using this API.","{""responseCode"": 405, ""message"": ""This request method is not supported.""}",PASSED
3,Get All Brands List,GET,https://automationexercise.com/api/brandsList,N/A,,200,200,This API returns all brand list.,"{""responseCode"": 200, ""brands"": [{""id"": 1, ""brand"": ""Polo""}, {""id"": 2, ""brand"": ""H&M""}, {""id"": 3, ""brand"": ""Madame""}, {""id"": 4, ""brand"": ""Madame""}, {""id"": 5, ""brand"": ""Mast & Harbour""}, {""id"": 6, ""brand"": ""H&M""}, {""id"": 7, ""brand"": ""Madame""}, {""id"": 8, ""brand"": ""Polo""}, {""id"": 11, ""brand"": ""Babyhug""}, {""id"": 12, ""brand"": ""Babyhug""}, {""id"": 13, ""brand"": ""Allen Solly Junior""}, {""id"": 14, ""brand"": ""Kookie Kids""}, {""id"": 15, ""brand"": ""Babyhug""}, {""id"": 16, ""brand"": ""Babyhug""}, {""id"": 18, ""brand"": ""Kookie Kids""}, {""id"": 19, ""brand"": ""Allen Solly Junior""}, {""id"": 20, ""brand"": ""Kookie Kids""}, {""id"": 21, ""brand"": ""Biba""}, {""id"": 22, ""brand"": ""Biba""}, {""id"": 23, ""brand"": ""Biba""}, {""id"": 24, ""brand"": ""Allen Solly Junior""}, {""id"": 28, ""brand"": ""H&M""}, {""id"": 29, ""brand"": ""Polo""}, {""id"": 30, ""brand"": ""Polo""}, {""id"": 31, ""brand"": ""H&M""}, {""id"": 33, ""brand"": ""Polo""}, {""id"": 35, ""brand"": ""H&M""}, {""id"": 37, ""brand"": ""Polo""}, {""id"": 38, ""brand"": ""Madame""}, {""id"": 39, ""brand"": ""Biba""}, {""id"": 40, ""brand"": ""Biba""}, {""id"": 41, ""brand"": ""Madame""}, {""id"": 42, ""brand"": ""Mast & Harbour""}, {""id"": 43, ""brand"": ""Mast & Harbour""}]}",PASSED
4,PUT To All Brands List,PUT,https://automationexercise.com/api/brandsList,N/A,{},405,405,"This API is for wrongly calling PUT request for ALL brands list, user can not update brand using this API.","{""responseCode"": 405, ""message"": ""This request method is not supported.""}",PASSED
5,POST To Search Product,POST,https://automationexercise.com/api/searchProduct,"search_product (for example: men, top, t-shirt)","{""search_product (for example: men"": ""top"", ""top"": ""dummy_value"", ""t-shirt)"": ""dummy_value""}",200,400,This API returns all products matching with search criteria.,"{""responseCode"": 400, ""message"": ""Bad request, search_product parameter is missing in POST request.""}",FAILED
6,POST To Search Product without search_product parameter,POST,https://automationexercise.com/api/searchProduct,N/A,{},400,400,"This API is for wrongly calling POST request for search product without search_product parameter, user can not search product without search_product parameter.","{""responseCode"": 400, ""message"": ""Bad request, search_product parameter is missing in POST request.""}",PASSED
7,POST To Verify Login with valid details,POST,https://automationexercise.com/api/verifyLogin,"email, password","{""email"": ""test@example.com"", ""password"": ""password123""}",200,400,User exists!,"{""responseCode"": 400, ""message"": ""Bad request, email or password parameter is missing in POST request.""}",FAILED
8,POST To Verify Login without email parameter,POST,https://automationexercise.com/api/verifyLogin,password,"{""password"": ""password123""}",400,400,"This API is for wrongly calling POST request for verify login without email parameter, user can not login without email parameter.","{""responseCode"": 400, ""message"": ""Bad request, email or password parameter is missing in POST request.""}",PASSED
9,DELETE To Verify Login,DELETE,https://automationexercise.com/api/verifyLogin,N/A,,405,405,"This API is for wrongly calling DELETE request for verify login, user can not delete login using this API.","{""responseCode"": 405, ""message"": ""This request method is not supported.""}",PASSED
10,POST To Verify Login with invalid details,POST,https://automationexercise.com/api/verifyLogin,"email, password","{""email"": ""test@example.com"", ""password"": ""password123""}",404,400,User not found!,"{""responseCode"": 400, ""message"": ""Bad request, email or password parameter is missing in POST request.""}",FAILED
